name,address,rating,email,phone,category,website,gmap_link,services
CEI India Pvt Ltd | IT Services & Software Company | Chennai,"Software company ·  · 27, Akshaya Shanthi 44, 44, Anna Salai
Open 24 hours · 044 4221 0500",4.5,N/A,044 4221 0500,IT company,https://www.ceiamerica.com/,https://www.google.com/maps/search/IT+company+near+600002/,AI Innovation Vector-6 Clairvoyance Foundation Enterprise Assistants AI Knowledge Management AI Managed Services GitHub Copilot Clairvoyance Automation Clairvoyance Data Analytics Solutions Vector-6 Microsoft Solutions AWS Solutions GitHub Solutions Infrastructure Solutions Strategy & Advisory Talent Acquisition IT Managed Services Infrastructure Managed Cybersecurity vCISO Service Desk CEI Clairvoyance Enterprise Platforms Vector-6 Services Overview CRM Services ERP Services Sitecore Solutions 
Visanka Technologies Pvt Ltd,"Software company · 135A,1st Floor, CRBS Complex, Swamy Naicken St
Open 24 hours · 070100 95990",4.8,Sales@visankatechnologies.com,070100 95990,IT company,https://www.visankatechnologies.com/,https://www.google.com/maps/search/IT+company+near+600002/,Sales@visankatechnologies.com +91 7010095990 Home (current) About Us Services Port Folio Our Packages Latest News Contact Us
Rayafeel Technologies Private Limited,"Software company · S102, 2nd floor, Phase-3, Spencer Plaza Mall, WS-02, Anna Salai
Open 24 hours",5.0,info@rayafeel.com,N/A,IT company,http://rayafeel.com/,https://www.google.com/maps/search/IT+company+near+600002/,Back Home Services HR Services HR Advisory Services Contract Staffing HR Outsourcing Services Manpower Supply Services Payroll Processing Permanent Placement Recruitment and Placement Services Recruitment Process Outsourcing Staffing Agency Services DBA bench resources DBA Support DBA Consultancy Services PostgreSQL Support Website Maintenance Virtual Office Space Address Company Registration Services Company FAQs About Us Contact Office Space Virtual Space Co-working Space Private Space Meeting
Banibro IT Solutions,"Software company · Desk #452, Spencer Plaza Mall, 715-A, 7th Floor, Anna Salai
Open 24 hours · 093422 58771",4.7,info@banibro.com,093422 58771,IT company,http://banibro.com/,https://www.google.com/maps/search/IT+company+near+600002/,Home Company About us Gallery Testimonials Our Services Odoo Services Odoo Integration Odoo Development Odoo Customization Odoo Implementation Odoo Configuration Odoo Consulting Odoo Maintanance Odoo Support Odoo Licensing Odoo Apps Odoo Hosting Odoo Demo Odoo Implementation Partner Odoo Training Odoo Pricing Odoo Migration Odoo 17 Offshore Odoo Development Odoo Open Source ERP Services ERP CRM ERP Ecommerce ERP Development ERP Cloud ERP Implementation ERP Consulting ERP Vendors ERP Integration 
TenthPlanet Technologies Private Limited,"Software company · 6th Floor, PT Lee Building, 807
Closed ⋅ Opens 9 am Thu · 044 4296 1000",4.2,N/A,044 4296 1000,IT company,https://tenthplanet.in/,https://www.google.com/maps/search/IT+company+near+600002/,N/A
Ninestars Information Technologies Pvt. Ltd.,"Software company ·  · 756, Vasan Ave
Closed ⋅ Opens 9:30 am Thu · 044 6125 5100",3.7,N/A,044 6125 5100,IT company,https://www.ninestarsglobal.com/,https://www.google.com/maps/search/IT+company+near+600002/,"Skip to content Home About Us Services Content Services Imaging & Digitization Digital Publishing Solutions Data Management & Enhancement Translation & Localization Services Archival and Storage Content Augmentation Analytics Services Predictive Analytics Sentiment Analysis Ontology Development Media Analysis & Reporting Brand Intelligence Tech Services Bespoke Development Tech Advisory Managed Services Process Automation Industries Media Monitoring Services Banking, Financial & Insurance Servic"
Ciranta IT Services Pvt Ltd,"Software company · 1, 766, The Executive Zone Shakthi Towers, Anna Salai
Closed ⋅ Opens 9 am Thu",5.0,N/A,N/A,IT company,https://www.cirantait.com/,https://www.google.com/maps/search/IT+company+near+600002/,"Skip to Content Home About Us Odoo Odoo Implementation Odoo Customization Odoo ERP Integration Support & Maintenance Odoo Migration Odoo Training Industries Retail Manufacturing Wholesale & Distribution Automotive E-Commerce Services Enterprise Application Technology Consulting Rapid Prototype Digital Transformation BI & Analytics Dedicated Team AI & Machine Learning Staff Augmentation Blog Jobs Sign in Contact us Home About Us Odoo Industries Services Blog Jobs Sign in Contact us Welcome, Corpo"
Data Software Research Company Private Limited (DSRC),"Software company ·  · Kasturi Towers, 11, Smith Rd
Closed ⋅ Opens 9 am Thu · 044 4510 5000",3.8,N/A,044 4510 5000,IT company,https://www.dsrc.com/,https://www.google.com/maps/search/IT+company+near+600002/,Search for: Services Application Services & Modernization Digital Transformation Services Software Product Development Cloud Management Services Insights Technology Expertise Engagement Models Case Studies Client Testimonials Industry Experience KlassAkt KlassAkt Studio KlassAKT LCMS KlassAkt LMS KlassAkt Simulator About Who we are The DSRC Difference Accreditations/Memberships Global Locations Contact Us Corporate Information CSR Policy Annual Return Careers Working at DSRC Job Opportunities Ca
BOTREE SOFTWARE INTERNATIONAL PVT LTD,"Software company ·  · WSS Towers, No.107 & 108, Adithanar Rd
Closed ⋅ Opens 9 am Thu · 044 2855 1591",4.1,N/A,044 2855 1591,IT company,https://botreesoftware.com/,https://www.google.com/maps/search/IT+company+near+600002/,Will Agentic AI Disrupt Your RTM Strategy—or Supercharge It ? → Register Now Explore Products Open menu # About Us Resources Menu Explore Products Open menu # About Us Resources Explore Products Open menu # About Us Resources Menu Explore Products Open menu # About Us Resources Book a Demo Talk to Us Botree Home Explore Products Open menu Botree DMS Botree Mobile DMS Botree FlexiDMS Botree SFA Botree Insights Botree Retailer App Botree MyDMS About Us Resources Open menu Blog Testimonial Podcast 
McKayne Technologies,"Software company · Spencer Plaza, G 194, 3rd Phase, Ground floor, Spencer Plaza 5, 6, 7, 8 and 9th floor, 769, 3, Anna Salai
Closed ⋅ Opens 9:30 am Thu · 094475 20016",5.0,develop@mckayne.com,094475 20016,IT company,http://www.mckayne.com/,https://www.google.com/maps/search/IT+company+near+600002/,"Who we are What we do How we do What we did Contact Us Who we are What we do How we do What we did Contact Us Application development concepts made a reality with us Your Trusted Technology Partner We use cutting-edge technology to deliver amazing products and platforms
                        for our clients to make their vision a reality Reliability Deep Tech Expertise Time Tracking Personal Commitment Substitutability Scalability We Build apps for all screens We believe in innovative and out"
