name,address,rating,email,phone,category,website,gmap_link,services
eDOTS IT Solutions,"Software company · 3, Second Lane, PV Koil St
Open ⋅ Closes 8:30 pm · 099625 86611",4.6,N/A,099625 86611,IT company,https://edotsindia.com/,https://www.google.com/maps/search/IT+company+near+600004+/,N/A
ProdEx Technologies Private Limited,"Software company ·  · I Floor, Laxmi Towers, 47, Dr Radha Krishnan Salai
Open 24 hours · 044 2811 3640",4.7,N/A,044 2811 3640,IT company,https://www.prodex.in/,https://www.google.com/maps/search/IT+company+near+600004+/,"Our privacy policy ProdEx Technologies Pvt Ltd does not share personal information of any kind with anyone. We will
                        not sell
                        or rent your name or personal information to any third party. We DO NOT sell, rent or provide
                        outside access to our mailing list or any data we store. ProdEx Technologies Pvt Ltd only collects such personal information that is necessary for you to
                        access
                   "
Riyadvi Software Technologies Private Limited,"Software company · 17, Aarti arcade, Dr Radha Krishnan Salai, opposite AVM Rajeswari Kalyana mandapam
Closed ⋅ Opens 9:30 am Thu · 080724 87427",4.9,info@riyadvisoftwaretechnologies.com,080724 87427,IT company,https://riyadvisoftwaretechnologies.com/,https://www.google.com/maps/search/IT+company+near+600004+/,"See What Our Client Says About Us Click &qout;Rated 5 Stars on Google! ððððð See why our clients love us.&qout; employee in this company but i feel im more comfortable than. the collegues are friendly, the seniors are very friendly, overall best place to work. Mohammed Yehraz Best website development company.. they always focus on 100 percentage customer satisfaction. Good service. geetha lakshmi selvaraj One of the best company for app development. Very satisfied with their work "
Jeevan Technologies,"Software company · 9th Floor, Gee Gee Crystals, 91, Dr Radha Krishnan Salai
Closes soon ⋅ 7:30 pm ⋅ Opens 9 am Thu · 044 2811 6960",4.3,info@noblq.com,044 2811 6960,IT company,http://www.jeevantechnologies.com/,https://www.google.com/maps/search/IT+company+near+600004+/,"Contact Us Capabilities SAP S/4HANA Enterprise management with next-gen solutions. Oracle EBS & Fusion Empower your enterprise with integrated cloud applications and intelligent infrastructure. Oracle JD Edwards Flexible ERP for streamlined operations and scalable growth. Microsoft Smart collaboration, agile cloud, and actionable insights for digital growth. ServiceNow Optimize operations with intelligent digital workflow services. Salesforce Custom CRM solutions to enhance customer relationship"
WEBRONIC,"Software company · New #33, Old #17, 2nd St
Open 24 hours · 072000 88500",5.0,N/A,072000 88500,IT company,https://webronic.com/,https://www.google.com/maps/search/IT+company+near+600004+/,N/A
Digival IT solutions,"Software company ·  · 5th floor, Chennai City Centre, 10 &11, Dr Radha Krishnan Salai
Closed ⋅ Opens 9 am Thu",4.7,contact@digi-val.com,N/A,IT company,https://digi-val.com/,https://www.google.com/maps/search/IT+company+near+600004+/,Download E-Brochure Everything you want to know about your product Download E-Brochure Short Brochure Download Detailed Brochure Download
Novac Technology Solutions,"Software company ·  · Office 275, Statesman One, Ramakrishna Mutt Rd
Closed ⋅ Opens 9 am Thu · 044 4291 3000",4.0,info@novactech.com,044 4291 3000,IT company,https://www.novactech.com/,https://www.google.com/maps/search/IT+company+near+600004+/,"Novac Technology Solutions Alert: Beware of impersonators misusing our brand name. Read More! Scale up to New Heights with Novac! Empowering businesses to go digital in every dimension of their operations Get in Touch Leveraging Digitization in BFSI Sector Empowering BFSI companies with customer-centric solutions for transformative business excellence Explore Experience the New Age of Digital Learning and Immersive Solutions Leveraging cutting-edge technology to develop interactive, engaging, an"
Qbrik Information Technologies,"Software company · No.152, 2nd Floor, Ganesh Towers, Luz Church Rd
Closed ⋅ Opens 9:30 am Thu · 044 4255 5570",4.7,info@qbrik.in,044 4255 5570,IT company,https://qbrik.in/,https://www.google.com/maps/search/IT+company+near+600004+/,"Qbrik Home Products Solutions Features About Us Contact Welcome to Qbrik! IT solutions for the financial sector. Shakti Our flagship core banking product Seamless integration Seamless integration of portfolio management, financial accounting, reporting and business intelligence. Multi-product platform Multi-cycle loan products. Support for assets, liabilities, insurance and pension products under the same architecture. Qbe A proprietary big data analytics & business intelligence engine. Highly c"
Nexus Innovative Solutions Private Limited,"Software company · No.154 & 155 Church Complex, Luz Church Rd
Closed ⋅ Opens 9:30 am Thu · 044 4351 4049",4.7,N/A,044 4351 4049,IT company,http://nexusi.in/,https://www.google.com/maps/search/IT+company+near+600004+/,"Search for: Why nexus-i Products Solutions Customers Support About Connect Happy employees and partners mean happy customers. Connect and engage with your customers, employees and partners effectively. Read More Customer Loyalty Keep customers coming back. Delight them with well designed loyalty programs. Learn more.. Employee Recognition Engage employees and make your organization a great place to work. Learn more.. Channel Partner Incentives Get more from your channel partners. Devise motivati"
Global Cyber Associates,"Software company · 5, 5th St
Closed ⋅ Opens 9 am Thu",5.0,N/A,N/A,IT company,https://www.globalcyberassociates.com/,https://www.google.com/maps/search/IT+company+near+600004+/,N/A
